bns_section_number,bns_section_title,bns_section_text,keywords,crime_category
15,General Exceptions to Offences,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines various exceptions that negate criminal liability.  These exceptions cover actions done in good faith under legal authority, by accident, to prevent greater harm, by children or persons of unsound mind, under duress, or in self-defense.  Consent, where given freely and appropriately, also limits criminal liability.  The section clarifies that the exceptions do not apply to certain serious offenses like murder or offenses against the state.","General Exceptions, Criminal Liability, Good Faith, Consent, Self-Defense, Duress, Insanity, Childhood, Accident, Mistake of Fact",General Principles of Criminal Law
37,Right of Private Defence and Abetment,"This section of the Bharatiya Nyaya Sanhita (BNS) details the right of private defense of the body and property, specifying the circumstances under which the use of deadly force is justified.  It outlines restrictions on the extent of harm permissible in self-defense and clarifies when the right commences and ceases.  The section also comprehensively addresses abetment, defining it, outlining different forms of abetment, and specifying punishments for abetment, considering scenarios where the act abetted differs from the intended act.","Private Defence, Abetment,  Self-defense,  Deadly Force,  Property, Body,  Criminal Conspiracy",Criminal Law; General Principles of Criminal Liability
52,Punishment for Abetment of Offences,"This section of the Bharatiya Nyaya Sanhita (BNS) details the punishment for abetment (inciting or encouraging) of various offences.  It outlines the liability of an abettor for the consequences of the abetted act, even if a different effect than intended occurs.  It specifies different punishments based on the severity of the original offence, whether the offence was committed, and whether the abettor or abetted person is a public servant.  Specific examples illustrate the application of the law.","Abetment, instigation, punishment, liability, offence, public servant, grievous hurt, murder.",General Crimes; Criminal Conspiracy
58,Concealing Design to Commit Offences and Criminal Conspiracy,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines the penalties for concealing the design to commit various offences, differentiating punishments based on whether the offence was committed and its severity.  It also defines criminal conspiracy, specifying the penalties for agreeing to commit illegal acts or legal acts through illegal means.  The section further addresses attempts to commit punishable offences.","Criminal Conspiracy, Concealing Offence Design,  Information Hiding,  Public Servant,  Attempt,  Punishment,  Illegal Act",Offences Against Public Order and Administration/General Criminal Offences
63,Punishment for Rape,"This section of the Bharatiya Nyaya Sanhita (BNS) defines rape and outlines the punishments.  Rape is defined broadly, encompassing various acts of penetration or manipulation against a woman's will or without her consent, including situations where consent is obtained through coercion, deception, or when the woman is underage or incapacitated.  The punishment for rape is rigorous imprisonment for a minimum of ten years, extendable to life imprisonment, and a fine.  The punishment is increased to life imprisonment (meaning imprisonment for the remainder of the person's natural life) under aggravating circumstances, such as the perpetrator being a police officer, public servant, or in a position of trust or authority over the victim, or if the rape involves grievous bodily harm, repeated offenses, or the victim is pregnant or disabled.","Rape, Punishment, Sexual Assault, Consent, Aggravated Circumstances, Life Imprisonment, Bharatiya Nyaya Sanhita",Sexual Offences
65,Punishment for Rape Causing Death or Persistent Vegetative State,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines the punishment for rape resulting in the death of the victim or leaving her in a persistent vegetative state.  The punishment for rape itself is already rigorous imprisonment for at least 20 years, potentially life imprisonment, and a fine.  If the rape results in death or a persistent vegetative state, the punishment increases to include the possibility of the death penalty, in addition to life imprisonment.  Any fine imposed must be just and reasonable and is to be paid to the victim.  The section differentiates punishment based on the age of the victim; those under 12 face a harsher penalty, including the possibility of the death penalty.","Rape, Death Penalty, Life Imprisonment, Persistent Vegetative State,  Victim Compensation,  Sexual Assault,  Bharatiya Nyaya Sanhita","Offences Against the Person (specifically, Sexual Offences)"
67,Punishment for Sexual Intercourse without Consent and Related Offences,"This section of the Bharatiya Nyaya Sanhita (BNS) outlines various punishments for sexual offences, including sexual intercourse without consent, sexual intercourse by a person in a position of authority, sexual intercourse through deceitful means, gang rape, and repeat offenders.  The section specifies different penalties based on the nature of the offence and the circumstances, including imprisonment ranging from two years to life imprisonment, fines, and even the death penalty in certain cases.  It also addresses the protection of the victim's identity.","Sexual Intercourse, Rape, Gang Rape, Consent, Position of Authority, Deceitful Means, Punishment, Imprisonment, Fine",Sexual Offences
73,"Offences Against Women: Assault, Sexual Harassment, and Voyeurism","This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offenses against women, including assault or use of criminal force with intent to outrage modesty (Section 74), sexual harassment encompassing physical contact, demands for sexual favors, showing pornography, and sexually colored remarks (Section 75), assault or use of criminal force with intent to disrobe (Section 76), and voyeurism, including watching or capturing images of a woman in private acts without her consent and disseminating such images (Section 77).  The section details varying punishments for these offenses, ranging from imprisonment and fines.","Assault, Sexual Harassment, Voyeurism, Criminal Force, Outraging Modesty,  Women's Rights,  Indian Penal Code",Offences Against Women
78,"Offences Against Women: Stalking, Outraging Modesty, Dowry Death, and Domestic Abuse","This section of the Bharatiya Nyaya Sanhita (BNS) outlines various offenses against women, including stalking (with varying penalties for first and subsequent convictions), outraging a woman's modesty through words, gestures, or actions, dowry death (resulting in a minimum seven-year prison sentence), deceitful cohabitation under false pretenses of marriage, bigamy, fraudulent marriage ceremonies, enticing or taking away a married woman with criminal intent, and cruelty inflicted by a husband or his relatives.  The section also defines ""cruelty"" in the context of domestic abuse.","Stalking, Outraging Modesty, Dowry Death, Bigamy, Domestic Violence, Cruelty, Fraudulent Marriage",Offences Against Women
87,Forcible Marriage and Compelled Illicit Intercourse,"This section criminalizes compelling a woman into marriage against her will, abducting her for forced or seduced illicit intercourse, or inducing her to leave a place knowing she will likely be forced into illicit intercourse.  The punishment is imprisonment up to ten years and a fine.  The act applies to using criminal intimidation, abuse of authority, or other forms of compulsion.","Forced Marriage, Compelled Intercourse, Abduction, Criminal Intimidation, Illicit Intercourse, Compulsion, Sexual Assault",Offences Against Women
88,Offences Affecting the Life of a Woman and Unborn Child,"This section of the Bharatiya Nyaya Sanhita (BNS) details offenses related to causing miscarriage, causing the death of a woman while attempting to cause a miscarriage, acts intended to prevent a child from being born alive or causing its death after birth, causing the death of a quick unborn child, and exposure or abandonment of a child under twelve years of age.  It also includes provisions for concealing birth, hiring a child to commit an offense, procuring a child for illicit intercourse, selling a child for prostitution, and buying a child for such purposes.  Penalties range from fines to life imprisonment depending on the severity and circumstances of the offense.","Miscarriage, Causing Death, Unborn Child, Child Abandonment,  Child Exploitation,  Prostitution,  Culpable Homicide",Offences Affecting Life; Offences Against Children
